Gene_symbol	Human_entrez	Rat_entrez	Mouse_entrez	Gene_Name	Synonym	DbTF	PMID	Uniprot_Human	Uniprot_Rat	Uniprot_mouse
ADRB2	"adrenoceptor beta 2, surface"	154	24176	11555	ADRB2R|ADRBR|B2AR|BAR|BETA2AR	0	0	P07550	Q8VBU7	P18762
AEBP1	"AE binding protein 1"	165	305494	11568	ACLP	yes	10510298	Q8IUX7	A2RUV9	Q640N1
AEBP2	"AE binding protein 2"	121536	297705	11569	-	yes	10329662	Q6ZN18		Q9Z248
AES	"amino-terminal enhancer of split"	166	29466	14797	AES-1|AES-2|ESP1|GRG|GRG5|TLE5	0	0	Q8WY48,Q08117	P63003	Q3TYD9,P63002
AFF1	"AF4/FMR2 family, member 1"	4299	305152	17355	AF4|MLLT2|PBM1	0	0	E9PBM3,B4DTU1,P51825,Q14C88	D3ZBU5	Q3UQD9,E9Q921,A3KMF4,Q3UP77
AFF2	"AF4/FMR2 family, member 2"	2334	293922	14266	FMR2|FMR2P|FRAXE|MRX2|OX19	0	0	P51816		O55112
AFF3	"AF4/FMR2 family, member 3"	3899	363220	16764	LAF4|MLLT2-LIKE	0	0	Q8NAP7,P51826		F8WJA7
AFF4	"AF4/FMR2 family, member 4"	27125	303132	93736	AF5Q31|MCEF	0	0	Q9UHB7		Q9ESC8
AFR2	"alpha fetoprotein regulation 2, inducibility"	0	0	110685		yes	15767785			
AG	agitans	0	0	11592		0	0			
AGAP3	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"	116988	362300	213990	AGAP-3|CENTG3|CRAG|MRIP-1|CNT-G3	0	0	E9PAL8,Q96P47,Q86XV5	G3V9Z5	F8VQE9,Q8BV81
AHCTF1	"AT hook containing transcription factor 1"	25909	360886	226747	ELYS|MST108|TMBS62	0	0	Q8WYP5	D3ZZZ0	Q8CJF7
AHCTF1P1	"AT hook containing transcription factor 1 pseudogene 1"	285116	0	0	AHCTF1P|ELYS-LIKE	0	0			
AHDC1	"AT hook, DNA binding motif, containing 1"	27245	362617	230793	CL23945|DJ159A19.3|RP1-159A19.1	0	0	Q5TGY3	D4A5R3	Q6PAL7
AHR	"aryl hydrocarbon receptor"	196	25690	11622	BHLHE76	yes	7592839	P35869	P41738	Q3U5D9,P30561
AHRR	"aryl-hydrocarbon receptor repressor"	57491	498999	11624	AHH|AHHR|BHLHE77	0	0	A9YTQ3	Q75NT5	Q3U1U7
AIP	"aryl hydrocarbon receptor interacting protein"	9049	282827	11632	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	0	0	O00170	Q5FWY5	O08915
AIRE	"autoimmune regulator"	326	294328	11634	AIRE1|APECED|APS1|APSI|PGA1	yes	"11274163, 11533054"	O43918		B2MVU6,Q9Z0E3
AKAP17A	"A kinase (PRKA) anchor protein 17A"	8227	288526	0	721P|AKAP-17A|CCDC133|CXYORF3|DXYS155E|PRKA17A|SFRS17A|XE7|XE7Y	0	0	Q05DA9,Q02040	B2RYB9	
AKAP8	"A kinase (PRKA) anchor protein 8"	10270	116633	56399	"AKAP 95|AKAP-8|AKAP-95|AKAP95"	0	0	O43823	Q63014,B2GV93	Q059U9,Q9DBR0
AKAP8L	"A kinase (PRKA) anchor protein 8-like"	26993	299569	54194	HA95|HAP95|NAKAP|NAKAP95	0	0	Q9ULX6	Q5U306	Q5RL57,Q9D0K8
AKAP9	"A kinase (PRKA) anchor protein (yotiao) 9"	10142	246150	100986	AKAP-9|AKAP350|AKAP450|CG-NAP|HYPERION|LQT11|MU-RMS-40.16A|PPP1R45|PRKA9|YOTIAO	0	0	Q99996,Q5GIA7,Q6PJH3		Q70FJ1,E9QQ10
AKNA	"AT-hook transcription factor"	80709	362530	100182	-	yes	21606955	Q7Z591,Q64FY1	D3ZLV5	Q80VW7
ALX1	"ALX homeobox 1"	8092	25401	216285	CART1|FND3	yes	9753625	Q15699	B0BMW6,Q63087	Q8C8B0
ALX3	"ALX homeobox 3"	257	365900	11694	FND1	yes	15226305	O95076	Q6RW14	Q3UQX2,O70137
ALX4	"ALX homeobox 4"	60529	296511	11695	FND2	yes	9847249	Q9H161	D3ZEM1	O35137,A2AIK6
ALYREF	"Aly/REF export factor"	10189	690585	21681	ALY|ALY/REF|BEF|REF|THOC4	0	0	E9PB61,Q86V81	D3ZXH7	O08583
AMOT	angiomotin	154796	300289	27494	-	0	0	Q4VCS5		Q8VHG2
ANAPC2	"anaphase promoting complex subunit 2"	29882	296558	99152	APC2|RP11-350O14.5	0	0	Q9UJX6	B2RYJ1	Q8BZQ7
ANHX	"anomalous homeobox"	647589	0	0	-	0	0			
ANKRA2	"ankyrin repeat, family A (RFXANK-like), 2"	57763	294679	68558	ANKRA	0	0	Q9H9E1	Q6Q287	Q99PE2
ANKRD1	"ankyrin repeat domain 1 (cardiac muscle)"	27063	27064	107765	ALRP|C-193|CARP|CVARP|MCARP|BA320F15.2	0	0	Q15327	Q8R560	Q9CR42
ANKRD10	"ankyrin repeat domain 10"	55608	361183	102334	-	0	0	Q9NXR5	F1LPK2	Q8BG46,Q8BYG1,Q99LW0
ANKRD2	"ankyrin repeat domain 2 (stretch responsive muscle)"	26287	309374	56642	ARPP	0	0	Q9GZV1	D3ZM27	Q9WV06,B2RS77
ANKRD22	"ankyrin repeat domain 22"	118932	294093	52024	-	0	0	Q5VYY1	D4ADM7	Q9D3J5
ANKRD30A	"ankyrin repeat domain 30A"	91074	0	0	NY-BR-1	0	0	Q9BXX3		
ANKRD32	"ankyrin repeat domain 32"	84250	294601	105377	BRCTD1|BRCTX	0	0	I6L9F1,Q9BQI6	D3ZVR6	Q8R3P9
ANKRD33	"ankyrin repeat domain 33"	341405	0	208258	C12ORF7|PANKY	0	0	Q5K617,Q7Z3H0,Q0VAA8		Q8BXP5
ANKRD42	"ankyrin repeat domain 42"	338699	293117	73845	SARP	0	0	Q8N9B4	D3ZA25	Q3V096
ANKRD45	"ankyrin repeat domain 45"	339416	289152	73844	CT117|RP3-436N22.4	0	0	Q5TZF3		Q810N6,G3X9E0
ANKRD49	"ankyrin repeat domain 49"	54851	315434	56503	FGIF|GBIF	0	0	Q8WVL7	B1WC29	Q8VE42
ANKRD5	"ankyrin repeat and EF-hand domain containing 1"	63926	296184	319196	DJ839B4.6	0	0	Q9NU02	D4A9E7	Q9D2J7
ANKRD53	"ankyrin repeat domain 53"	79998	0	75305	-	0	0	Q8N9V6		Q3V0J4,Q9CUG5
ANKRD54	"ankyrin repeat domain 54"	129138	362957	223690	LIAR	0	0	Q6NXT1	Q566C8	A7YB12,Q91WK7
ANKRD55	"ankyrin repeat domain 55"	79722	361898	77318	-	0	0	Q3KP44	H9BFG5	Q8BV14,Q8BYH9,Q8BLD6,A7MCU1,E9Q0E9
ANKRD6	"ankyrin repeat domain 6"	22881	500430	140577	-	0	0	Q9Y2G4,B7Z3D2	B5DEH9	Q69ZU8
ANKRD7	"ankyrin repeat domain 7"	56311	502733	75196	TSA806	0	0	Q92527		Q9D504
ANKS1A	"ankyrin repeat and sterile alpha motif domain containing 1A"	23294	309639	224650	ANKS1	0	0	Q05CP0,Q92625	D4AC12	B2KF14,P59672
ANKS3	"ankyrin repeat and sterile alpha motif domain containing 3"	124401	302937	72615	-	0	0	Q6ZW76	Q5M9H0	Q9CZK6
ANKZF1	"ankyrin repeat and zinc finger domain containing 1"	55139	363255	52231	ZNF744	0	0	Q9H8Y5	Q66H85	Q80UU1,J3QM81
ANP32A	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"	8125	25379	11737	C15ORF1|HPPCN|I1PP2A|LANP|MAPM|PHAP1|PHAPI|PP32	0	0	P39687	P49911	O35381
AP5Z1	"adaptor-related protein complex 5, zeta 1 subunit"	9907	641386	231855	KIAA0415|SPG48|ZETA	0	0	O43299		Q3U829
APBB1	"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)"	322	29722	11785	FE65|MGC:9072|RIR	0	0	B7Z1J5,B7Z2Y0,Q7Z324,B7Z2A2,O00213,B7Z1J6,B7Z4M9,B7Z3G1	P46933	Q9QXJ1
APBB2	"amyloid beta (A4) precursor protein-binding, family B, member 2"	323	305338	11787	FE65L|FE65L1	0	0	B4E2F2,Q92870,B4DJ88,E9PG87		E9PWH3,Q8BSK4,Q3U674,Q3T9N0,Q9DBR4,Q3TIZ5,P70415
APC	"adenomatous polyposis coli"	324	24205	11789	BTPS2|DP2|DP2.5|DP3|GS|PPP1R46	0	0	B7Z2B6,P25054,Q4LE70	P70478	B2RUG9,Q8BNP7
APEX1	"APEX nuclease (multifunctional DNA repair enzyme) 1"	328	79116	11792	APE|APE1|APEN|APEX|APX|HAP1|REF1	yes	1380454	P27695,Q5TZP7	P43138	P28352,Q544Z7
APEX2	"APEX nuclease (apurinic/apyrimidinic endonuclease) 2"	27301	289662	77622	APE2|APEXL2|XTH2	0	0	E5KN95,Q9UBZ4	D3ZHV4	A2AFM3,Q68G58
APOL2	"apolipoprotein L, 2"	23780	315111	239552	APOL-II|APOL3	0	0	Q9BQE5		A2VDH7
APP	"amyloid beta (A4) precursor protein"	351	54226	11820	AAA|ABETA|ABPP|AD1|APPI|CTFGAMMA|CVAP|PN-II|PN2	0	0	B4DGD0,P05067,E9PG40	P08592	Q6GR78,Q3TWF3,P12023
APTX	aprataxin	54840	259271	66408	AOA|AOA1|AXA1|EAOH|EOAHA|FHA-HIT	0	0	Q7Z2E3	Q8K4H4	B1AXX8,Q7TQC5,B1AXX6
AR	"androgen receptor"	367	24208	11835	AIS|DHTR|HUMARA|HYSP1|KD|NR3C4|SBMA|SMAX1|TFM	yes	7685765	P10275,F1D8N5	P15207	B1AVE7,P19091
ARC	"activity-regulated cytoskeleton-associated protein"	23237	54323	11838	ARG3.1	0	0	Q7LC44	Q63053	Q9WV31
ARFGAP2	"ADP-ribosylation factor GTPase activating protein 2"	84364	362162	77038	IRZ|NBLA10535|ZFP289|ZNF289	0	0	B4DX29,Q8N6H7	Q3MID3	Q3UR67,Q99K28
ARGFX	"arginine-fifty homeobox"	503582	0	0	-	0	0	A6NJG6		
ARHGAP35	"Rho GTPase activating protein 35"	2909	306400	232906	GRF-1|GRLF1|P190-A|P190A|P190ARHOGAP|P190RHOGAP	yes	1894621	Q9NRY4		Q3UVZ8,Q8CCL8,Q91YM2,B2RTN5
ARHGEF25	"Rho guanine nucleotide exchange factor (GEF) 25"	115557	314904	52666	GEFT|P63RHOGEF	0	0	A9CQZ6,Q86VW2	Q6P720	G5E825,Q9CWR0
ARID1A	"AT rich interactive domain 1A (SWI-like)"	8289	297867	93760	B120|BAF250|BAF250A|BM029|C1ORF4|ELD|MRD14|OSA1|P270|SMARCF1|HELD|HOSA1	0	0	O14497		A2BH40
ARID1B	"AT rich interactive domain 1B (SWI1-like)"	57492	282546	239985	6A3-5|BAF250B|BRIGHT|DAN15|ELD/OSA1|MRD12|OSA2|P250R	0	0	Q8NFD5		E9Q4N7
ARID2	"AT rich interactive domain 2 (ARID, RFX-like)"	196528	366980	77044	BAF200|P200	0	0	Q68CP9		E9Q7E2,Q9D982
ARID3A	"AT rich interactive domain 3A (BRIGHT-like)"	1820	314616	13496	BRIGHT|DRIL1|DRIL3|E2FBP1	yes	15456761	Q99856	B5DEX9	Q62431
ARID3B	"AT rich interactive domain 3B (BRIGHT-like)"	10620	367092	56380	BDP|DRIL2	yes	8543152	Q8IVW6	D3ZGC2	Q9Z1N7
ARID3C	"AT rich interactive domain 3C (BRIGHT-like)"	138715	502946	550619	-	yes	21955986	A6NKF2	D3ZQB1	B7ZP08,A6PWV5
ARID4A	"AT rich interactive domain 4A (RBP1-like)"	5926	314205	238247	RBBP-1|RBBP1|RBP-1|RBP1	0	0	Q05CG0,P29374	D4ADE4	F8VPQ2
ARID4B	"AT rich interactive domain 4B (RBP1-like)"	51742	84481	94246	BCAA|BRCAA1|RBBP1L1|RBP1L1|SAP180	0	0	Q4LE39	Q9JKB5	Q3TR72,Q8BV50,Q8BYB0,A2CG63
ARID5A	"AT rich interactive domain 5A (MRF1-like)"	10865	316327	214855	MRF-1|MRF1|RP11-363D14	yes	8649988	Q03989	Q3KRC8	Q3U108
ARID5B	"AT rich interactive domain 5B (MRF1-like)"	84159	309728	71371	DESRT|MRF-2|MRF2	yes	"8649988, 8649988, 10329386, 10329386"	Q14865		Q8BM75
ARIH2	"ariadne homolog 2 (Drosophila)"	10425	316005	23807	ARI2|TRIAD1	0	0	Q6IBL8,O95376	D3ZJB8	Q3TK92,Q9Z1K6
ARNT	"aryl hydrocarbon receptor nuclear translocator"	405	25242	11863	HIF-1-BETA|HIF-1BETA|HIF1-BETA|HIF1B|HIF1BETA|TANGO|BHLHE2	yes	7592839	B0AZM1,P27540,A8K6P0	P41739	P53762,Q3ULM2
ARNT2	"aryl-hydrocarbon receptor nuclear translocator 2"	9915	25243	11864	BHLHE1	yes	8657146	Q86TN1,Q7Z3A3,Q9HBZ2	Q78E60	Q61324
ARNTL	"aryl hydrocarbon receptor nuclear translocator-like"	406	29657	11865	BMAL1|BMAL1C|JAP3|MOP3|PASD3|TIC|BHLHE5	yes	"9576906, 9616112"	O00327	Q9EPW1	Q9WTL8,Q3UHZ2
ARNTL2	"aryl hydrocarbon receptor nuclear translocator-like 2"	56938	362464	272322	BMAL2|CLIF|MOP9|PASD9|BHLHE6	yes	16893914	F5H402,B7Z429,Q8WYA1		Q2VPD4
ARRB1	"arrestin, beta 1"	408	25387	109689	ARB1|ARR1	0	0	P49407,B7Z1Q3	P29066	Q8BWG8
ARX	"aristaless related homeobox"	170302	317268	11878	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	yes	15930104	Q96QS3	A6YP92	O35085
ASB1	"ankyrin repeat and SOCS box containing 1"	51665	316628	65247	ASB-1	0	0	Q9Y576	B5DF97	Q3U5A0,Q9WV74,G3X9J5
ASB10	"ankyrin repeat and SOCS box containing 10"	136371	499972	117590	-	0	0	Q8WXI3	B5DEZ7	Q91ZT7
ASB11	"ankyrin repeat and SOCS box containing 11"	140456	302666	68854	-	0	0	E9PEN1,Q8WXH4,Q7Z670	D3ZSF1	Q9CQ31
ASB12	"ankyrin repeat and SOCS box containing 12"	142689	503446	70392	-	0	0	J3KP57,Q8WXK4,Q8N8F5	Q32Q00	Q9D738,Q3KNI9
ASB15	"ankyrin repeat and SOCS box containing 15"	142685	500050	78910	-	0	0	Q8WXK1		Q3UQ60,Q8C565,Q8VHS6
ASB3	"ankyrin repeat and SOCS box containing 3"	51130	364227	65257	ASB-3	0	0	Q9Y575		Q9WV72
ASB4	"ankyrin repeat and SOCS box containing 4"	51666	500017	65255	ASB-4	0	0	Q9Y574	Q6J757	Q9WV71
ASB6	"ankyrin repeat and SOCS box containing 6"	140459	296627	72323	-	0	0	Q9NWX5	Q6AYC9	Q91ZU1,A2APZ5
ASB8	"ankyrin repeat and SOCS box containing 8"	140461	315287	78541	-	0	0	Q9H765	B5DF17	Q8CDF0,Q91ZT9,Q9D4Y2
ASB9	"ankyrin repeat and SOCS box containing 9"	140462	367785	69299	-	0	0	Q96DX5		Q91ZT8
ASCC1	"activating signal cointegrator 1 complex subunit 1"	51008	294512	69090	ASC1P50|P50	0	0	Q8N9N2	G3V619	Q9D8Z1
ASCC2	"activating signal cointegrator 1 complex subunit 2"	84164	498402	75452	ASC1P100|P100	0	0	F5H6J9,Q9H1I8,B7Z8E0	D3ZPJ9	Q5NCK0,Q91WR3
ASCC3	"activating signal cointegrator 1 complex subunit 3"	10973	309887	77987	ASC1P200|DJ467N11.1|HELIC1|RNAH|DJ121G13.4|P200	0	0	Q8N3C0		E9PZJ8
ASCL1	"achaete-scute complex homolog 1 (Drosophila)"	429	64186	17172	ASH1|HASH1|MASH1|BHLHA46	yes	"8662987, 8900141"	P50553	P19359	Q02067
ASCL2	"achaete-scute complex homolog 2 (Drosophila)"	430	24209	17173	ASH2|HASH2|MASH2|BHLHA45	yes	1314394	Q99929	P19360	Q3TJR9,O35885
ASCL3	"achaete-scute complex homolog 3 (Drosophila)"	56676	246301	56787	HASH3|SGN1|BHLHA42	yes	11784080	Q9NQ33	F1LQ83	Q9JJR7
ASCL4	"achaete-scute complex homolog 4 (Drosophila)"	121549	299687	67341	HASH4|BHLHA44	0	0	Q6XD76	D3ZS54	
ASCL5	"achaete-scute family bHLH transcription factor 5ï¾ "	647219	363991	226439	"Ascl5-ps| Gm197| bHLHa47|RGD1561854"	0	0			
ASF1A	"ASF1 anti-silencing function 1 homolog A (S. cerevisiae)"	25842	294408	66403	CGI-98|CIA|HSPC146	0	0	Q9Y294	D3ZFM1	Q9CQE6
ASH1L	"ash1 (absent, small, or homeotic)-like (Drosophila)"	55870	310638	192195	ASH1|ASH1L1|KMT2H	0	0	Q9NR48		Q99MY8
ASH2L	"ash2 (absent, small, or homeotic)-like (Drosophila)"	9070	290829	23808	ASH2|ASH2L1|ASH2L2|BRE2	0	0	Q9UBL3	D3ZTV7	E9PU93,Q3UKZ9,Q91X20
ASXL1	"additional sex combs like 1 (Drosophila)"	171023	311553	228790	BOPS|MDS	0	0	Q498B9,Q8IXJ9		P59598,Q24JP2
ASXL2	"additional sex combs like 2 (Drosophila)"	55252	313922	75302	ASXH2	0	0	Q76L83		B2RUG8,D6REV1
ATF1	"activating transcription factor 1"	466	315305	11908	EWS-ATF1|FUS/ATF-1|TREB36	yes	2516827	P18846	Q5BK34	Q9CWS2,P81269
ATF2	"activating transcription factor 2"	1386	81647	11909	CRE-BP1|CREB2|HB16|TREB7	yes	"1658708, 2516827, 2529117, 9139739, 10909971"	A4D7V5,Q3B7B7,Q8TAR1,P15336,G8JLM5,A4D7U4	Q00969	Q68FE3,Q640L6,A2AQF2,Q543G2,P16951
ATF3	"activating transcription factor 3"	467	25389	11910	-	yes	"2516827, 11916968, 12815047"	Q5VTZ2,P18847	P29596	Q60765,Q4FJW1
ATF4	"activating transcription factor 4 (tax-responsive enhancer element B67)"	468	79255	11911	CREB-2|CREB2|TAXREB67|TXREB	yes	"2516827, 16000305"	P18848,Q96AQ3	Q9ES19,B0BMW3	Q06507,Q8CF69
ATF4P3	"activating transcription factor 4 pseudogene 3"	643159	0	0	ATF4C	0	0			
ATF5	"activating transcription factor 5"	22809	282840	107503	ATFX|HMFN0395	yes	"2516827, 15735663"	Q9Y2D1	Q6P788	Q3UJF3,O70191
ATF6	"activating transcription factor 6"	22926	304962	226641	ATF6A	yes	"2516827, 9271374"	P18850,A8K383	G3V909	F6VAN0
ATF6B	"activating transcription factor 6 beta"	1388	406169	12915	CREB-RP|CREBL1|G13	yes	14973138	Q6AZW6,Q99941	Q4G097	O35451,Q3UJ07
ATF7	"activating transcription factor 7"	11016	315333	223922	ATFA	yes	"2516827, 11278933"	P17544	G3V7X9	Q3U2X8,Q8R0S1
ATF7IP	"activating transcription factor 7 interacting protein"	55729	312800	54343	AM|MCAF|MCAF1|P621	0	0	B3KNI7,Q6VMQ6,B3KQF8		Q7TT18
ATG4B	"autophagy related 4B, cysteine peptidase"	23192	316640	66615	APG4B|AUTL1	0	0	Q9Y4P1,B3KVU2	Q4KM36	Q8BGE6
ATM	"ataxia telangiectasia mutated"	472	300711	11920	AT1|ATA|ATC|ATD|ATDC|ATE|TEL1|TELO1	0	0	Q13315	D4ACL8	Q62388
ATMIN	"ATM interactor"	23300	315037	234776	ASCIZ|ZNF822	0	0	O43313	F1LN81	Q6P9S1
ATN1	"atrophin 1"	1822	29515	13498	B37|D12S755E|DRPLA|HRS|NOD	0	0	Q86V38,P54259	P54258,G3V7W3	O35126
ATOH1	"atonal homolog 1 (Drosophila)"	474	500156	11921	ATH1|HATH1|MATH-1|BHLHA14	yes	14757642	Q92858	D3ZQL9	P48985
ATOH7	"atonal homolog 7 (Drosophila)"	220202	365564	53404	MATH5|BHLHA13	yes	11172005	F1T0H4,Q8N100	D3ZG53	Q9Z2E5
ATOH8	"atonal homolog 8 (Drosophila)"	84913	500200	71093	HATH6|BHLHA21	0	0	Q96SQ7	D4AA26	Q99NA2
ATR	"ataxia telangiectasia and Rad3 related"	545	685055	245000	FCTCS|FRP1|MEC1|SCKL|SCKL1	0	0	Q13535		E9QPK4
ATRX	"alpha thalassemia/mental retardation syndrome X-linked"	546	246284	22589	ATR2|JMS|MRXHF1|RAD54|RAD54L|SFM1|SHS|XH2|XNP|ZNF-HX	0	0	P46100		
ATXN1	"ataxin 1"	6310	25049	20238	ATX1|D6S504E|SCA1	0	0	Q96FF1,P54253	Q63540	P54254,J3QPR1
ATXN2	"ataxin 2"	6311	288663	20239	ASL13|ATX2|SCA2|TNRC13	0	0	Q99700		E9QM77,O70305,Q3UX07
ATXN7	"ataxin 7"	6314	361015	246103	ADCAII|OPCA3|SCA7	0	0	Q9UPD8,B4E207,O15265,E9PHP9	D3ZKZ8	Q8R4I1
ATXN7L2	"ataxin 7-like 2"	127002	310781	72522	-	0	0	I6L9B5,Q5T6C5		Q8C8K6
BACH1	"BTB and CNC homology 1, basic leucine zipper transcription factor 1"	571	304127	12013	BACH-1	yes	10620011	Q6ICU0,O14867	D4ACD2	P97302,Q3US24,Q3URL4
BACH2	"BTB and CNC homology 1, basic leucine zipper transcription factor 2"	60468	366340	12014	BTBD25	yes	"8887638, 10949928"	Q9BYV9		A2ANU8,A2RRI0
BAG1	"BCL2-associated athanogene"	573	297994	12017	BAG-1|HAP|RAP46	0	0	Q99933	B0K019	Q9CUY1,Q60739
BAGE2	"B melanoma antigen family, member 2"	85319	0	0	CT2.2	0	0			
BANP	"BTG3 associated nuclear protein"	54971	292064	53325	BEND1|SMAR1|SMARBP1	0	0	Q9NSS6,F5GZM0,B4DE54,Q8N9N5,B3KM38	B1H235	Q8VBU8
BARD1	"BRCA1 associated RING domain 1"	580	64557	12021	-	0	0	Q99728,A0AVN2	Q9QZH2	O70445
BARHL1	"BarH-like homeobox 1"	56751	117232	54422	-	yes	18212062	Q9BZE3	P63156	P63157,A2AIT5
BARHL2	"BarH-like homeobox 2"	343472	65050	104382	-	yes	22307612	Q9NY43	O88181	Q7TNS3,Q8VIB5
BARX1	"BARX homeobox 1"	56033	364680	12022	-	yes	15809042	Q9HBU1	D3ZA67	Q9ER42
BARX2	"BARX homeobox 2"	8538	679701	12023	-	yes	"14744868, 15728386"	Q9UMQ3		O08686
BATF	"basic leucine zipper transcription factor, ATF-like"	10538	299206	53314	B-ATF|BATF1|SFA-2|SFA2	yes	21873234	Q16520	D4A7E1	O35284
BATF2	"basic leucine zipper transcription factor, ATF-like 2"	116071	309178	74481	SARI	0	0	Q8N1L9	D3ZT85	Q8R1H8
BATF3	"basic leucine zipper transcription factor, ATF-like 3"	55509	60462	381319	JDP1|JUNDM1|SNFT	yes	15467742	Q9NR55	P97876	Q9D275
BAZ1A	"bromodomain adjacent to zinc finger domain, 1A"	11177	314126	217578	ACF1|WALP1|WCRF180|HACF1	0	0	Q9NRL2		G3UWZ0
BAZ1B	"bromodomain adjacent to zinc finger domain, 1B"	9031	368002	22385	WBSCR10|WBSCR9|WSTF	0	0	Q9UIG0	G3V661	Q9Z277
BAZ2A	"bromodomain adjacent to zinc finger domain, 2A"	11176	304601	116848	TIP5|WALP3	0	0	Q9UIF9		F8VPM0
BAZ2B	"bromodomain adjacent to zinc finger domain, 2B"	29994	317627	407823	WALP4	0	0	Q9UIF8	D3ZKZ4	A2AUY4
BBX	"bobby sox homolog (Drosophila)"	56987	303970	70508	HBP2|HSPC339|MDS001	yes	11680820	A8K6U2,Q8WY36	A1L1L0	Q8VBW5
BCL11A	"B-cell CLL/lymphoma 11A (zinc finger protein)"	53335	305589	14025	BCL11A-L|BCL11A-S|BCL11A-XL|BCL11A-M|CTIP1|EVI9|HBFQTL5|ZNF856	yes	19056937	D6W5D9,Q9H165,D9YZV9	D3ZSY3	Q3US10,Q5STS8,Q5STS9,Q9QYE3,Q5STS5,Q5STS7,Q3TP99
BCL11B	"B-cell CLL/lymphoma 11B (zinc finger protein)"	64919	314423	58208	CTIP-2|CTIP2|RIT1|ZNF856B|HRIT1-ALPHA	yes	12196208	Q9C0K0	D4A0W4	Q99PV8
BCL2	"B-cell CLL/lymphoma 2"	596	24224	12043	BCL-2|PPP1R50	0	0	P10415,C9JHD5	P49950	Q6NTH7,Q8BQK4,P10417
BCL3	"B-cell CLL/lymphoma 3"	602	680611	12051	BCL4|D19S37	0	0	P20749	D3ZQF8	Q9Z2F6
BCL6	"B-cell CLL/lymphoma 6"	604	303836	12053	BCL5|BCL6A|LAZ3|ZBTB27|ZNF51	yes	12097386	P41182,B5B0A5	B2GUV8	Q544F9,P41183
BCL6B	"B-cell CLL/lymphoma 6, member B"	255877	360551	12029	BAZF|ZBTB28|ZNF62	yes	9632807	A8KA13,Q8N143	D3ZTN3	O88282,Q5BKP3
BCLAF1	"BCL2-associated transcription factor 1"	9774	293017	72567	BTF|BK211L9.1	yes	17938203	Q9NYF8	B1WC16	Q8K019,F8WI22
BCOR	"BCL6 corepressor"	54880	317346	71458	ANOP2|MAA2|MCOPS2	0	0	Q6W2J9	D4A2J9	Q8CGN4
BDP1	"B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB"	55814	294687	544971	HSA238520|TAF3B1|TFC5|TFIIIB''|TFIIIB150|TFIIIB90|TFNR	0	0	A6H8Y1	B2RZ11	
BEX1	"brain expressed, X-linked 1"	55859	501625	19716	BEX2|HBEX2|HGR74-H	0	0	Q9HBH7	Q3MKQ2	Q9R224
